iter	Passed	Remaining
0	136	67968
1	170	42428
2	206	34189
3	244	30346
4	280	27746
5	315	25938
6	347	24484
7	382	23533
8	416	22715
9	471	23119
10	508	22616
11	544	22128
12	582	21823
13	619	21494
14	656	21237
15	692	20938
16	731	20773
17	768	20567
18	800	20263
19	833	20014
20	866	19772
21	901	19594
22	934	19371
23	968	19210
24	1002	19045
25	1037	18910
26	1073	18809
27	1105	18642
28	1141	18538
29	1173	18385
30	1201	18175
31	1230	17992
32	1264	17889
33	1297	17788
34	1331	17689
35	1365	17602
36	1398	17500
37	1431	17399
38	1466	17337
39	1497	17217
40	1531	17141
41	1563	17054
42	1600	17008
43	1637	16969
44	1674	16934
45	1710	16877
46	1741	16785
47	1777	16739
48	1813	16696
49	1846	16619
50	1881	16563
51	1916	16515
52	1947	16421
53	1979	16350
54	2013	16288
55	2044	16208
56	2079	16159
57	2117	16134
58	2150	16077
59	2186	16032
60	2221	15987
61	2257	15946
62	2291	15895
63	2325	15842
64	2363	15815
65	2397	15762
66	2432	15720
67	2468	15680
68	2506	15656
69	2541	15613
70	2573	15551
71	2609	15510
72	2645	15474
73	2681	15435
74	2714	15381
75	2754	15369
76	2794	15349
77	2831	15316
78	2870	15296
79	2903	15241
80	2939	15204
81	2977	15177
82	3022	15185
83	3057	15142
84	3095	15113
85	3128	15058
86	3167	15035
87	3205	15009
88	3241	14970
89	3277	14930
90	3311	14884
91	3350	14858
92	3383	14808
93	3416	14756
94	3453	14721
95	3487	14678
96	3523	14637
97	3562	14615
98	3602	14593
99	3634	14539
100	3668	14492
101	3701	14442
102	3734	14394
103	3771	14360
104	3806	14319
105	3840	14275
106	3871	14219
107	3907	14181
108	3938	14128
109	3971	14079
110	4005	14038
111	4037	13985
112	4070	13939
113	4101	13888
114	4135	13843
115	4172	13810
116	4205	13765
117	4237	13719
118	4271	13677
119	4305	13633
120	4339	13591
121	4372	13547
122	4408	13511
123	4441	13467
124	4472	13416
125	4503	13367
126	4537	13326
127	4571	13286
128	4608	13253
129	4662	13270
130	4702	13245
131	4735	13200
132	4768	13157
133	4802	13118
134	4838	13082
135	4876	13052
136	4914	13022
137	4953	12993
138	4988	12955
139	5023	12918
140	5057	12875
141	5092	12838
142	5123	12791
143	5157	12751
144	5191	12710
145	5227	12675
146	5268	12650
147	5303	12614
148	5342	12585
149	5374	12539
150	5410	12504
151	5443	12463
152	5478	12426
153	5511	12384
154	5545	12342
155	5579	12304
156	5613	12264
157	5648	12226
158	5681	12185
159	5713	12141
160	5749	12105
161	5783	12066
162	5817	12026
163	5848	11982
164	5883	11945
165	5914	11899
166	5946	11857
167	5976	11811
168	6010	11771
169	6041	11728
170	6072	11682
171	6105	11642
172	6135	11596
173	6163	11547
174	6194	11504
175	6226	11461
176	6256	11417
177	6287	11374
178	6318	11330
179	6350	11289
180	6380	11244
181	6415	11208
182	6450	11174
183	6484	11135
184	6516	11094
185	6544	11047
186	6575	11006
187	6609	10969
188	6643	10932
189	6675	10891
